button_id,label,area,handler_type,handler_line,handler_excerpt,prerequisite,expected_result,risk_level,destructive,test_mode,static_contract_status,browser_e2e_status,browser_e2e_note,v20_4_action_guard,guard_reason,runtime_verification,adaptive_ui,v20_5_fixture_mock,ai_context_aware,runtime_result_verification,v20_6_agent_callable,agent_risk,agent_runtime_verify,v20_7_contextual_ux,v20_7_failure_recovery,next_action_explainable,button_reason_visible,v20_8_role_adaptive,v20_8_engineering_optimizer,role_visibility
proposalMode,提案模式,top,onclick,1405,"if(q(""proposalMode""))q(""proposalMode"").onclick=()=>setStudioMode(""proposal"");",無特殊前置條件,執行「提案模式」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
constructionMode,施工模式,top,onclick,1406,"if(q(""constructionMode""))q(""constructionMode"").onclick=()=>setStudioMode(""construction"");",無特殊前置條件,執行「施工模式」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
uiOverview,完整介面：100%,top,onclick,1443,"q(""uiOverview"").onclick=()=>{uiScaleMode=uiScaleMode===100?90:uiScaleMode===90?80:100;document.body.classList.remove(""ui90"",""ui80"");if(uiScaleMode===90)document.body.classList.add(""ui90"");if(uiScaleMode===80)document.body.classList.add(""ui80"");q(""uiOverview"").",無特殊前置條件,執行「完整介面：100%」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
save,儲存專案,top,onclick,738,"q(""save"").onclick=()=>save();",需已開啟專案,保存目前專案與場景資料,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,project,情境條件：project,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
viewFront,正面,,onclick,1428,"if(q(""viewFront""))q(""viewFront"").onclick=()=>set3DView(""front"");",需3D引擎可用,執行「正面」對應功能並產生可見狀態變化或明確提示,MEDIUM,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,is3,情境條件：is3,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
viewLeft,左側,,onclick,1429,"if(q(""viewLeft""))q(""viewLeft"").onclick=()=>set3DView(""left"");",需3D引擎可用,執行「左側」對應功能並產生可見狀態變化或明確提示,MEDIUM,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,is3,情境條件：is3,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
viewRight,右側,,onclick,1430,"if(q(""viewRight""))q(""viewRight"").onclick=()=>set3DView(""right"");",需3D引擎可用,執行「右側」對應功能並產生可見狀態變化或明確提示,MEDIUM,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,is3,情境條件：is3,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
viewTop,俯視,,onclick,1431,"if(q(""viewTop""))q(""viewTop"").onclick=()=>set3DView(""top"");",需3D引擎可用,執行「俯視」對應功能並產生可見狀態變化或明確提示,MEDIUM,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,is3,情境條件：is3,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
viewFree,自由,,onclick,1432,"if(q(""viewFree""))q(""viewFree"").onclick=()=>set3DView(""free"");",需3D引擎可用,執行「自由」對應功能並產生可見狀態變化或明確提示,MEDIUM,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,is3,情境條件：is3,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
toggle3DGrid,3D格線,,onclick,1433,"if(q(""toggle3DGrid""))q(""toggle3DGrid"").onclick=()=>{show3DGrid=!show3DGrid;if(is3)build3()};",需3D引擎可用,執行「3D格線」對應功能並產生可見狀態變化或明確提示,MEDIUM,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,GENERIC_MONITOR,NORMAL,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
toggle3DStructure,結構,,onclick,1434,"if(q(""toggle3DStructure""))q(""toggle3DStructure"").onclick=()=>{show3DStructure=!show3DStructure;if(is3)build3()};",需3D引擎可用,執行「結構」對應功能並產生可見狀態變化或明確提示,MEDIUM,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,GENERIC_MONITOR,NORMAL,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
collapseInspector,▶,right,addEventListener,1841,"q('collapseInspector')?.addEventListener('click',e=>{e.stopPropagation()",無特殊前置條件,執行「▶」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,GENERIC_MONITOR,NORMAL,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
resetTransform,重設位置／角度,物件屬性,onclick,1868,"q(""resetTransform"").onclick=resetSelectedTransform;q(""restoreDeleted"").onclick=restoreLastDeleted;q(""resetMediaTransform"").onclick=resetSelectedMediaTransform;q(""statusUndo"").onclick=()=>q(""undo"").click();q(""statusRedo"").onclick=()=>q(""redo"").click();q(""showSh",需選取物件,執行「重設位置／角度」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,selection,情境條件：selection,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
restoreDeleted,還原最後刪除,物件屬性,onclick,1868,"q(""restoreDeleted"").onclick=restoreLastDeleted;q(""resetMediaTransform"").onclick=resetSelectedMediaTransform;q(""statusUndo"").onclick=()=>q(""undo"").click();q(""statusRedo"").onclick=()=>q(""redo"").click();q(""showShortcuts"").onclick=()=>q(""shortcutModal"").classList.",無特殊前置條件,執行「還原最後刪除」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,deleted,情境條件：deleted,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
geomNormal,一般,幾何／透視編輯,onclick,1163,"q(""geomNormal"").onclick=()=>geom(""normal"");q(""geomPerspective"").onclick=()=>geom(""perspective"");q(""geomAnchor"").onclick=()=>geom(""anchor"");q(""curvePower"").oninput=()=>{let o=selected();if(!o)return;o.curvePower=+q(""curvePower"").value;q(""curveVal"").textContent=",無特殊前置條件,執行「一般」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
geomPerspective,四點透視,幾何／透視編輯,onclick,1163,"q(""geomPerspective"").onclick=()=>geom(""perspective"");q(""geomAnchor"").onclick=()=>geom(""anchor"");q(""curvePower"").oninput=()=>{let o=selected();if(!o)return;o.curvePower=+q(""curvePower"").value;q(""curveVal"").textContent=q(""curvePower"").value+""%"";draw()};[""content",無特殊前置條件,執行「四點透視」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
geomAnchor,錨點,幾何／透視編輯,onclick,1163,"q(""geomAnchor"").onclick=()=>geom(""anchor"");q(""curvePower"").oninput=()=>{let o=selected();if(!o)return;o.curvePower=+q(""curvePower"").value;q(""curveVal"").textContent=q(""curvePower"").value+""%"";draw()};[""contentScale"",""contentRotate"",""contentWidth"",""contentHeight""",無特殊前置條件,執行「錨點」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
dup,複製選取模型,模型管理,onclick,1165,"q(""dup"").onclick=duplicateSelectedObjects;",需選取物件,執行「複製選取模型」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,selection,情境條件：selection,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
del,刪除選取模型,模型管理,onclick,1165,"q(""del"").onclick=deleteSelectedObjects;q(""dup"").onclick=duplicateSelectedObjects;",需選取物件,執行「刪除選取模型」對應功能並產生可見狀態變化或明確提示,HIGH,YES,MANUAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,selection,情境條件：selection,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
addSameModel,＋ 新增同型模型,模型管理,onclick,1513,"q(""addSameModel"").onclick=addSameTypeModel;",需選取物件,執行「＋ 新增同型模型」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,selection,情境條件：selection,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
centerSelected,置中選取模型,模型管理,onclick,1514,"q(""centerSelected"").onclick=()=>centerObjectInScene(selected());",需選取物件,執行「置中選取模型」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,selection,情境條件：selection,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
groupMove,群組移動,群組整體操作,onclick,1492,"q(""groupMove"").onclick=()=>{groupMoveMode=!groupMoveMode;q(""groupMove"").classList.toggle(""activeMode"",groupMoveMode);toast(groupMoveMode?""群組移動模式：開"":""群組移動模式：關"")};",需選取物件,執行「群組移動」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,selection,情境條件：selection,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
groupScaleUp,放大10%,群組整體操作,onclick,1384,"if(q(""groupScaleUp""))q(""groupScaleUp"").onclick=()=>groupTransform(""scale"",1.1);",需選取物件,執行「放大10%」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,selection,情境條件：selection,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
groupScaleDown,縮小10%,群組整體操作,onclick,1385,"if(q(""groupScaleDown""))q(""groupScaleDown"").onclick=()=>groupTransform(""scale"",.9);",需選取物件,執行「縮小10%」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,selection,情境條件：selection,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
groupRotateL,左轉5°,群組整體操作,onclick,1386,"if(q(""groupRotateL""))q(""groupRotateL"").onclick=()=>groupTransform(""rotate"",-5*Math.PI/180);",需選取物件,執行「左轉5°」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,selection,情境條件：selection,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
groupRotateR,右轉5°,群組整體操作,onclick,1387,"if(q(""groupRotateR""))q(""groupRotateR"").onclick=()=>groupTransform(""rotate"",5*Math.PI/180);",需選取物件,執行「右轉5°」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,selection,情境條件：selection,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
alLeft,靠左,工程對齊／分布,onclick,1374,"if(q(""alLeft""))q(""alLeft"").onclick=()=>alignObjects(""left"");if(q(""alCenter""))q(""alCenter"").onclick=()=>alignObjects(""center"");if(q(""alRight""))q(""alRight"").onclick=()=>alignObjects(""right"");",需選取物件,執行「靠左」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,multi,情境條件：multi,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
alCenter,水平置中,工程對齊／分布,onclick,1374,"if(q(""alCenter""))q(""alCenter"").onclick=()=>alignObjects(""center"");if(q(""alRight""))q(""alRight"").onclick=()=>alignObjects(""right"");",需選取物件,執行「水平置中」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,multi,情境條件：multi,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
alRight,靠右,工程對齊／分布,onclick,1374,"if(q(""alRight""))q(""alRight"").onclick=()=>alignObjects(""right"");",需選取物件,執行「靠右」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,multi,情境條件：multi,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
alTop,靠上,工程對齊／分布,onclick,1375,"if(q(""alTop""))q(""alTop"").onclick=()=>alignObjects(""top"");if(q(""alMiddle""))q(""alMiddle"").onclick=()=>alignObjects(""middle"");if(q(""alBottom""))q(""alBottom"").onclick=()=>alignObjects(""bottom"");",需選取物件,執行「靠上」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,multi,情境條件：multi,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
alMiddle,垂直置中,工程對齊／分布,onclick,1375,"if(q(""alMiddle""))q(""alMiddle"").onclick=()=>alignObjects(""middle"");if(q(""alBottom""))q(""alBottom"").onclick=()=>alignObjects(""bottom"");",需選取物件,執行「垂直置中」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,multi,情境條件：multi,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
alBottom,靠下,工程對齊／分布,onclick,1375,"if(q(""alBottom""))q(""alBottom"").onclick=()=>alignObjects(""bottom"");",需選取物件,執行「靠下」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,multi,情境條件：multi,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
distH,水平等距,工程對齊／分布,onclick,1376,"if(q(""distH""))q(""distH"").onclick=()=>distribute(""h"");if(q(""distV""))q(""distV"").onclick=()=>distribute(""v"");if(q(""autoDim""))q(""autoDim"").onclick=addAutoDimensions;",需選取物件,執行「水平等距」對應功能並產生可見狀態變化或明確提示,LOW,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,multi,情境條件：multi,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
